Time,Voltage,gNA,gK,gL
23.800000000000068,-53.152353492290715,9.811601294547861e-06,5.218917248619267e-06,0.0187
23.90000000000007,-53.09641633897155,1.0097311652226233e-05,5.330178916159555e-06,0.0187
24.00000000000007,-53.04058088253345,1.0390530521399845e-05,5.443546390711437e-06,0.0187
24.100000000000072,-52.984846858536805,1.0691430999034483e-05,5.559054759182654e-06,0.0187
24.200000000000074,-52.929214001328596,1.1000189525614483e-05,5.67673960817785e-06,0.0187
24.300000000000075,-52.87368204401239,1.1316985935168522e-05,5.796637029772495e-06,0.0187
24.400000000000077,-52.818250718417985,1.164200350581643e-05,5.918783627340838e-06,0.0187
24.500000000000078,-52.76291975507061,1.1975429010843479e-05,6.0432165214384955e-06,0.0187
24.60000000000008,-52.70768888315974,1.2317452770308565e-05,6.1699733557404815e-06,0.0187
24.70000000000008,-52.65255783050746,1.266826870319328e-05,6.299092303035423e-06,0.0187
24.800000000000082,-52.5975263235365,1.3028074380098964e-05,6.430612071276745e-06,0.0187
24.900000000000084,-52.5425940872377,1.3397071076499245e-05,6.564571909691628e-06,0.0187
25.000000000000085,-52.48776084513722,1.3775463826556535e-05,6.701011614948605e-06,0.0187
25.100000000000087,-52.43302631926316,1.4163461477510026e-05,6.839971537384652e-06,0.0187
25.200000000000088,-52.37839023011193,1.4561276744644753e-05,6.981492587292709e-06,0.0187
25.30000000000009,-52.323852296613964,1.4969126266850259e-05,7.12561624127051e-06,0.0187
25.40000000000009,-52.26941223609919,1.5387230662779198e-05,7.272384548631785e-06,0.0187
25.500000000000092,-52.215069764261955,1.5815814587615375e-05,7.421840137880722e-06,0.0187
25.600000000000094,-52.16082459512549,1.6255106790462103e-05,7.57402622325084e-06,0.0187
25.700000000000095,-52.106676441006,1.6705340172362216e-05,7.728986611309277e-06,0.0187
25.800000000000097,-52.0526250124762,1.7166751844960714e-05,7.88676570762766e-06,0.0187
25.900000000000098,-51.99867001832847,1.7639583189823112e-05,8.047408523520645e-06,0.0187
26.0000000000001,-51.94481116553749,1.812407991842129e-05,8.210960682853412e-06,0.0187
26.1000000000001,-51.89104815922241,1.8620492132800835e-05,8.377468428919276e-06,0.0187
26.200000000000102,-51.83738070260859,1.9129074386943693e-05,8.546978631388741e-06,0.0187
26.300000000000104,-51.7838084969888,1.965008574884022e-05,8.719538793331293e-06,0.0187
26.400000000000105,-51.73033124168392,2.018378986328643e-05,8.895197058311333e-06,0.0187
26.500000000000107,-51.67694863400325,2.0730455015422042e-05,9.074002217559666e-06,0.0187
26.600000000000108,-51.6236603692042,2.1290354195025727e-05,9.256003717221983e-06,0.0187
26.70000000000011,-51.570466140451536,2.1863765161585226e-05,9.441251665685915e-06,0.0187
26.80000000000011,-51.51736563877613,2.245097051016e-05,9.629796840988184e-06,0.0187
26.900000000000112,-51.46435855303315,2.3052257738055377e-05,9.82169069830351e-06,0.0187
27.000000000000114,-51.411444569859796,2.366791931232786e-05,1.0016985377516948e-05,0.0187
27.100000000000115,-51.35862337363238,2.429825273814165e-05,1.0215733710881396e-05,0.0187
27.200000000000117,-51.30589464642306,2.494356062799851e-05,1.041798923076208e-05,0.0187
27.300000000000118,-51.25325806795585,2.560415077186162e-05,1.0623806177469924e-05,0.0187
27.40000000000012,-51.200713315562176,2.6280336208198254e-05,1.083323950718562e-05,0.0187
27.50000000000012,-51.1482600641359,2.6972435295963783e-05,1.1046344899976559e-05,0.0187
27.600000000000122,-51.09589798608771,2.768077178755274e-05,1.1263178767908536e-05,0.0187
27.700000000000124,-51.04362675129897,2.8405674902742477e-05,1.1483798263254445e-05,0.0187
27.800000000000125,-50.99144602707503,2.9147479403656964e-05,1.1708261286802155e-05,0.0187
27.900000000000126,-50.939355478097866,2.990652567077814e-05,1.193662649626384e-05,0.0187
28.000000000000128,-50.88735476637823,3.0683159780034e-05,1.2168953314789135e-05,0.0187
28.10000000000013,-50.835443551207106,3.147773358099416e-05,1.2405301939584494e-05,0.0187
28.20000000000013,-50.78362148910662,3.229060477620389e-05,1.2645733350641439e-05,0.0187
28.300000000000132,-50.731888233780275,3.312213700168916e-05,1.2890309319576007e-05,0.0187
28.400000000000134,-50.6802434360626,3.397269990866734e-05,1.3139092418582443e-05,0.0187
28.500000000000135,-50.62868674386815,3.484266924649721e-05,1.3392146029503617e-05,0.0187
28.600000000000136,-50.57721780213984,3.5732426946906326e-05,1.3649534353021198e-05,0.0187
28.700000000000138,-50.52583625279664,3.6642361209532614e-05,1.3911322417968501e-05,0.0187
28.80000000000014,-50.47454173468054,3.757286658881956e-05,1.4177576090769113e-05,0.0187
28.90000000000014,-50.42333388350296,3.852434408230611e-05,1.4448362085004401e-05,0.0187
29.000000000000142,-50.37221233179034,3.9497201220352485e-05,1.472374797111319e-05,0.0187
29.100000000000144,-50.32117670882906,4.049185215734645e-05,1.5003802186227052e-05,0.0187
29.200000000000145,-50.27022664060968,4.150871776443524e-05,1.5288594044144597e-05,0.0187
29.300000000000146,-50.21936174977043,4.2548225723829466e-05,1.5578193745448456e-05,0.0187
29.400000000000148,-50.168581655539924,4.361081062472803e-05,1.5872672387768574e-05,0.0187
29.50000000000015,-50.11788597367918,4.4696914060914477e-05,1.61721019761958e-05,0.0187
29.60000000000015,-50.06727431642278,4.5806984730076244e-05,1.6476555433849538e-05,0.0187
29.700000000000152,-50.01674629241937,4.694147853490175e-05,1.6786106612603777e-05,0.0187
29.800000000000153,-49.966301506671215,4.81008586860101e-05,1.7100830303975523e-05,0.0187
29.900000000000155,-49.915939560473056,4.9285595806771995e-05,1.7420802250180136e-05,0.0187
30.000000000000156,-49.86566005135006,5.049616804008153e-05,1.774609915535801e-05,0.0187
30.100000000000158,-49.81546257299499,5.173306115714073e-05,1.8076798696977216e-05,0.0187
30.20000000000016,-49.76534671520441,5.299676866832035e-05,1.8412979537417022e-05,0.0187
30.30000000000016,-49.71531206381411,5.428779193616459e-05,1.8754721335737063e-05,0.0187
30.400000000000162,-49.66535820063358,5.560664029060694e-05,1.910210475963742e-05,0.0187
30.500000000000163,-49.61548470337953,5.695383114646882e-05,1.9455211497614767e-05,0.0187
30.600000000000165,-49.565691145608554,5.832989012331429e-05,1.9814124271320204e-05,0.0187
30.700000000000166,-49.51597709664873,5.973535116773696e-05,2.0178926848124084e-05,0.0187
30.800000000000168,-49.466342121530346,6.11707566781573e-05,2.0549704053893933e-05,0.0187
30.90000000000017,-49.41678578091552,6.263665763221141e-05,2.0926541785991263e-05,0.0187
31.00000000000017,-49.36730763102686,6.413361371681557e-05,2.130952702649349e-05,0.0187
31.100000000000172,-49.31790722357506,6.566219346099371e-05,2.1698747855647247e-05,0.0187
31.200000000000173,-49.268584105685406,6.722297437155682e-05,2.2094293465559906e-05,0.0187
